accession,Entry Name,organism,ec_number,length,protein_name,taxonomic_group,length_bin,ec_main_class
A0A0A2JB87,TS1_PENEN,Penicillium expansum (Blue mold rot fungus),4.2.3.9,331,(+)-aristolochene synthase TS1 (EC 4.2.3.9) (Sesquiterpene synthase TS1),Protists,"(330, 340]",4
A0A0A2JP58,TS4_PENEN,Penicillium expansum (Blue mold rot fungus),4.2.3.100,389,(+)-bicyclogermacrene synthase TS4 (EC 4.2.3.100) (Sesquiterpene synthase TS4),Protists,"(380, 390]",4
W0FFD7,DS_PERHD,Persicaria hydropiper (Marshpepper knotweed) (Polygonum hydropiper),4.2.3.194,559,(-)-drimenol synthase (PhDS) (EC 4.2.3.194) (Drimenol cyclase) (Sesquiterpene synthase),Plants,"(550, 560]",4
U3KYL2,DS_VALOF,Valeriana officinalis (Valerian) (Garden heliotrope),4.2.3.194,556,(-)-drimenol synthase (VoDMS) (EC 4.2.3.194) (Drimenol cyclase) (Sesquiterpene synthase 3) (VoTPS3),Plants,"(550, 560]",4
T1RRR9,FENS_LAVPL,Lavandula pedunculata subsp. lusitanica (French lavender),4.2.3.-; 4.2.3.10,594,"(-)-endo-fenchol synthase, chloroplastic (Alpha fenchol synthase) (LpFENS) (EC 4.2.3.10) (Alpha pinene synthase) (EC 4.2.3.-) (Limonene synthase) (EC 4.2.3.-)",Plants,"(590, 600]",4
T1RRJ4,FENS_LAVST,Lavandula stoechas (Butterfly lavender),4.2.3.-; 4.2.3.10,594,"(-)-endo-fenchol synthase, chloroplastic (Alpha fenchol synthase) (LsFENS) (EC 4.2.3.10) (Alpha pinene synthase) (EC 4.2.3.-) (Limonene synthase) (EC 4.2.3.-)",Plants,"(590, 600]",4
T1RR72,FENS_LAVVI,Lavandula viridis (Green lavender),4.2.3.-; 4.2.3.10,594,"(-)-endo-fenchol synthase, chloroplastic (Alpha fenchol synthase) (LvFENS) (EC 4.2.3.10) (Alpha pinene synthase) (EC 4.2.3.-) (Limonene synthase) (EC 4.2.3.-)",Plants,"(590, 600]",4
A0A067DT54,C8A37_CITSI,Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis),1.14.14.-,491,(1S)-1-hydroxy-luvungin A synthase CYP88A37 (EC 1.14.14.-) (Cytochrome P450 family 88 subfamily A polypeptide 37) (CsCYP88A37),Protists,"(490, 500]",1
A0A067FT93,SDR_CITSI,Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis),1.1.1.-,272,(21S)-21-acetoxyl-apo-melianone synthase SDR (EC 1.1.1.-) (Short chain dehydrogenase-reductase) (CsSDR),Protists,"(270, 280]",1
A0A0B4G504,TPS1_METBS,Metarhizium brunneum (strain ARSEF 3297),4.2.3.47,331,(E)-beta farnesene synthase MBR_03882 (EC 4.2.3.47) (Typical fungal terpene synthase MBR_03882),Protists,"(330, 340]",4
Q9XFW4,LPAT2_BRANA,Brassica napus (Rape),2.3.1.51,390,1-acyl-sn-glycerol-3-phosphate acyltransferase 2 (EC 2.3.1.51) (Lysophosphatidyl acyltransferase 2),Plants,"(380, 390]",2
A8J0J0,LPAT_CHLRE,Chlamydomonas reinhardtii (Chlamydomonas smithii),2.3.1.51,332,1-acyl-sn-glycerol-3-phosphate acyltransferase CHLREDRAFT_174358 (EC 2.3.1.51),Algae,"(330, 340]",2
Q9ZQZ1,ACCO_DENCR,Dendrobium crumenatum (Tropical pigeon orchid),1.14.17.4,318,1-aminocyclopropane-1-carboxylate oxidase (ACC oxidase) (EC 1.14.17.4) (Ethylene-forming enzyme) (EFE),Plants,"(310, 320]",1
Q9ZUN4,ACCO1_ARATH,Arabidopsis thaliana (Mouse-ear cress),1.14.17.4,310,1-aminocyclopropane-1-carboxylate oxidase 1 (ACC oxidase 1) (AtACO1) (EC 1.14.17.4),Plants,"(300, 310]",1
Q9XES0,DXR_MENPI,Mentha piperita (Peppermint) (Mentha aquatica x Mentha spicata),1.1.1.267,470,"1-deoxy-D-xylulose 5-phosphate reductoisomerase, chloroplastic (1-deoxyxylulose-5-phosphate reductoisomerase) (DXP reductoisomerase) (EC 1.1.1.267) (2-C-methyl-D-erythritol 4-phosphate synthase)",Plants,"(460, 470]",1
Q9XFS9,DXR_ARATH,Arabidopsis thaliana (Mouse-ear cress),1.1.1.267,477,"1-deoxy-D-xylulose 5-phosphate reductoisomerase, chloroplastic (1-deoxyxylulose-5-phosphate reductoisomerase) (DXP reductoisomerase) (EC 1.1.1.267) (2-C-methyl-D-erythritol 4-phosphate synthase) (Protein PIGMENT-DEFECTIVE EMBRYO 129)",Plants,"(470, 480]",1
Q9XG54,OPR1_SOLLC,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),1.3.1.42,376,"12-oxophytodienoate reductase 1 (EC 1.3.1.42) (12-oxophytodienoate-10,11-reductase 1) (OPDA-reductase 1) (LeOPR1)",Plants,"(370, 380]",1
Q6QA32,DHB3_DANRE,Danio rerio (Zebrafish) (Brachydanio rerio),1.1.1.64,307,17-beta-hydroxysteroid dehydrogenase type 3 (17-beta-HSD 3) (Short chain dehydrogenase/reductase family 12C member 2) (Testicular 17-beta-hydroxysteroid dehydrogenase) (Testosterone 17-beta-dehydrogenase 3) (EC 1.1.1.64),Fish,"(300, 310]",1
